"Study","Person","Rater","Criterion","Score"
"Study2","P015","R06","Description",2
"Study2","P015","R06","Fluency",4
"Study2","P015","R06","Structure",3
"Study2","P015","R06","Train_of_Thought",2
"Study2","P015","R06","Vocabulary",2
"Study2","P016","R09","Argumentation",2
"Study2","P016","R09","Completeness",4
"Study2","P016","R09","Correctness",3
"Study2","P016","R09","Description",1
"Study2","P016","R09","Fluency",3
"Study2","P016","R09","Structure",3
"Study2","P016","R09","Syntactic_Breadth",2
"Study2","P016","R09","Train_of_Thought",1
"Study2","P016","R09","Vocabulary",3
"Study2","P016","R10","Argumentation",1
"Study2","P016","R10","Completeness",4
"Study2","P016","R10","Description",3
"Study2","P016","R10","Fluency",2
"Study2","P016","R10","Structure",3
"Study2","P016","R10","Syntactic_Breadth",4
"Study2","P016","R10","Train_of_Thought",4
"Study2","P016","R10","Vocabulary",4
"Study2","P017","R03","Argumentation",4
"Study2","P017","R03","Completeness",4
"Study2","P017","R03","Correctness",4
"Study2","P017","R03","Description",3
"Study2","P017","R03","Fluency",4
"Study2","P017","R03","Structure",4
"Study2","P017","R03","Syntactic_Breadth",3
"Study2","P017","R03","Train_of_Thought",4
"Study2","P017","R03","Vocabulary",3
"Study2","P017","R04","Argumentation",4
"Study2","P017","R04","Completeness",4
"Study2","P017","R04","Correctness",4
"Study2","P017","R04","Description",3
"Study2","P017","R04","Fluency",4
"Study2","P017","R04","Structure",4
"Study2","P017","R04","Syntactic_Breadth",4
"Study2","P017","R04","Train_of_Thought",4
"Study2","P018","R07","Argumentation",4
"Study2","P018","R07","Completeness",4
"Study2","P018","R07","Correctness",3
"Study2","P018","R07","Description",3
"Study2","P018","R07","Fluency",4
"Study2","P018","R07","Structure",3
"Study2","P018","R07","Syntactic_Breadth",3
"Study2","P018","R07","Train_of_Thought",4
"Study2","P018","R07","Vocabulary",4
"Study2","P018","R11","Completeness",3
"Study2","P018","R11","Correctness",2
"Study2","P018","R11","Fluency",2
"Study2","P018","R11","Structure",4
"Study2","P018","R11","Syntactic_Breadth",4
"Study2","P018","R11","Vocabulary",4
"Study2","P019","R09","Argumentation",2
"Study2","P019","R09","Completeness",4
"Study2","P019","R09","Correctness",3
"Study2","P019","R09","Description",2
"Study2","P019","R09","Fluency",3
"Study2","P019","R09","Structure",2
"Study2","P019","R09","Syntactic_Breadth",3
"Study2","P019","R09","Train_of_Thought",3
"Study2","P019","R09","Vocabulary",2
"Study2","P019","R11","Argumentation",2
"Study2","P019","R11","Completeness",2
"Study2","P019","R11","Correctness",1
"Study2","P019","R11","Description",1
"Study2","P019","R11","Fluency",2
"Study2","P019","R11","Structure",2
"Study2","P019","R11","Vocabulary",2
"Study2","P020","R02","Completeness",3
"Study2","P020","R02","Correctness",4
"Study2","P020","R02","Description",4
"Study2","P020","R02","Fluency",3
"Study2","P020","R02","Structure",3
"Study2","P020","R02","Syntactic_Breadth",4
"Study2","P020","R02","Train_of_Thought",1
"Study2","P020","R02","Vocabulary",2
"Study2","P020","R10","Argumentation",2
"Study2","P020","R10","Completeness",2
"Study2","P020","R10","Correctness",2
"Study2","P020","R10","Fluency",3
"Study2","P020","R10","Structure",4
"Study2","P020","R10","Syntactic_Breadth",1
"Study2","P020","R10","Train_of_Thought",2
"Study2","P020","R10","Vocabulary",2
"Study2","P021","R04","Argumentation",2
"Study2","P021","R04","Completeness",3
"Study2","P021","R04","Correctness",3
"Study2","P021","R04","Description",2
"Study2","P021","R04","Fluency",4
"Study2","P021","R04","Structure",4
"Study2","P021","R04","Syntactic_Breadth",4
"Study2","P021","R04","Vocabulary",2
"Study2","P021","R06","Argumentation",2
"Study2","P021","R06","Correctness",2
"Study2","P021","R06","Description",2
"Study2","P021","R06","Fluency",3
"Study2","P021","R06","Structure",3
"Study2","P021","R06","Syntactic_Breadth",2
"Study2","P021","R06","Train_of_Thought",2
"Study2","P021","R06","Vocabulary",3
"Study2","P022","R07","Argumentation",4
"Study2","P022","R07","Completeness",4
"Study2","P022","R07","Correctness",3
"Study2","P022","R07","Description",4
"Study2","P022","R07","Fluency",4
"Study2","P022","R07","Syntactic_Breadth",4
"Study2","P022","R07","Vocabulary",4
"Study2","P022","R11","Argumentation",3
"Study2","P022","R11","Completeness",4
"Study2","P022","R11","Correctness",3
"Study2","P022","R11","Description",1
"Study2","P022","R11","Fluency",4
"Study2","P022","R11","Structure",4
"Study2","P022","R11","Syntactic_Breadth",4
"Study2","P022","R11","Train_of_Thought",4
"Study2","P022","R11","Vocabulary",3
"Study2","P023","R01","Argumentation",1
"Study2","P023","R01","Correctness",1
"Study2","P023","R01","Description",2
"Study2","P023","R01","Fluency",2
"Study2","P023","R01","Structure",2
"Study2","P023","R01","Syntactic_Breadth",2
"Study2","P023","R01","Train_of_Thought",3
"Study2","P023","R01","Vocabulary",1
"Study2","P023","R06","Completeness",2
"Study2","P023","R06","Fluency",2
"Study2","P023","R06","Structure",1
"Study2","P023","R06","Syntactic_Breadth",2
"Study2","P023","R06","Train_of_Thought",2
"Study2","P024","R01","Argumentation",4
"Study2","P024","R01","Completeness",3
"Study2","P024","R01","Correctness",4
"Study2","P024","R01","Description",4
"Study2","P024","R01","Fluency",4
"Study2","P024","R01","Syntactic_Breadth",4
"Study2","P024","R01","Vocabulary",4
"Study2","P024","R12","Argumentation",3
"Study2","P024","R12","Completeness",4
"Study2","P024","R12","Correctness",4
"Study2","P024","R12","Description",3
"Study2","P024","R12","Fluency",4
"Study2","P024","R12","Structure",4
"Study2","P024","R12","Syntactic_Breadth",4
"Study2","P024","R12","Train_of_Thought",4
"Study2","P024","R12","Vocabulary",3
"Study2","P025","R05","Argumentation",4
"Study2","P025","R05","Completeness",3
"Study2","P025","R05","Correctness",2
"Study2","P025","R05","Description",1
"Study2","P025","R05","Fluency",4
"Study2","P025","R05","Structure",4
"Study2","P025","R05","Train_of_Thought",2
"Study2","P025","R05","Vocabulary",3
"Study2","P025","R08","Argumentation",4
"Study2","P025","R08","Completeness",4
"Study2","P025","R08","Correctness",3
"Study2","P025","R08","Description",3
"Study2","P025","R08","Fluency",4
"Study2","P025","R08","Structure",4
"Study2","P025","R08","Syntactic_Breadth",2
"Study2","P025","R08","Vocabulary",2
"Study2","P026","R05","Argumentation",4
"Study2","P026","R05","Correctness",3
"Study2","P026","R05","Fluency",4
"Study2","P026","R05","Structure",3
"Study2","P026","R05","Syntactic_Breadth",3
"Study2","P026","R05","Train_of_Thought",3
"Study2","P026","R05","Vocabulary",3
"Study2","P026","R07","Argumentation",3
"Study2","P026","R07","Completeness",4
"Study2","P026","R07","Correctness",4
"Study2","P026","R07","Description",4
"Study2","P026","R07","Fluency",4
"Study2","P026","R07","Syntactic_Breadth",4
"Study2","P026","R07","Train_of_Thought",3
"Study2","P026","R07","Vocabulary",2
"Study2","P027","R04","Argumentation",4
"Study2","P027","R04","Completeness",4
"Study2","P027","R04","Correctness",4
"Study2","P027","R04","Description",2
"Study2","P027","R04","Fluency",3
"Study2","P027","R04","Structure",3
"Study2","P027","R04","Syntactic_Breadth",4
"Study2","P027","R04","Train_of_Thought",2
"Study2","P027","R05","Argumentation",1
"Study2","P027","R05","Completeness",3
"Study2","P027","R05","Correctness",2
"Study2","P027","R05","Description",3
"Study2","P027","R05","Structure",3
"Study2","P027","R05","Syntactic_Breadth",2
"Study2","P027","R05","Train_of_Thought",3
"Study2","P027","R05","Vocabulary",4
"Study2","P028","R03","Argumentation",4
"Study2","P028","R03","Completeness",3
"Study2","P028","R03","Correctness",2
"Study2","P028","R03","Description",3
"Study2","P028","R03","Fluency",2
"Study2","P028","R03","Structure",2
"Study2","P028","R03","Syntactic_Breadth",3
"Study2","P028","R03","Train_of_Thought",1
"Study2","P028","R03","Vocabulary",2
"Study2","P028","R08","Completeness",3
"Study2","P028","R08","Correctness",2
"Study2","P028","R08","Description",4
"Study2","P028","R08","Fluency",4
"Study2","P028","R08","Structure",3
"Study2","P028","R08","Syntactic_Breadth",3
"Study2","P028","R08","Train_of_Thought",2
"Study2","P028","R08","Vocabulary",4
"Study2","P029","R05","Completeness",2
"Study2","P029","R05","Correctness",2
"Study2","P029","R05","Description",3
"Study2","P029","R05","Fluency",3
"Study2","P029","R05","Syntactic_Breadth",4
"Study2","P029","R05","Train_of_Thought",2
"Study2","P029","R05","Vocabulary",4
"Study2","P029","R06","Argumentation",3
"Study2","P029","R06","Completeness",3
"Study2","P029","R06","Correctness",1
"Study2","P029","R06","Description",2
"Study2","P029","R06","Fluency",3
"Study2","P029","R06","Structure",2
"Study2","P029","R06","Syntactic_Breadth",2
"Study2","P029","R06","Train_of_Thought",4
"Study2","P029","R06","Vocabulary",3
"Study2","P030","R01","Argumentation",4
"Study2","P030","R01","Completeness",4
"Study2","P030","R01","Description",4
"Study2","P030","R01","Fluency",3
"Study2","P030","R01","Structure",3
"Study2","P030","R01","Syntactic_Breadth",4
"Study2","P030","R01","Train_of_Thought",4
"Study2","P030","R01","Vocabulary",4
"Study2","P030","R12","Argumentation",4
"Study2","P030","R12","Completeness",4
"Study2","P030","R12","Description",3
"Study2","P030","R12","Fluency",4
"Study2","P030","R12","Structure",4
"Study2","P030","R12","Train_of_Thought",4
"Study2","P030","R12","Vocabulary",4
"Study2","P031","R05","Argumentation",2
"Study2","P031","R05","Completeness",4
"Study2","P031","R05","Correctness",2
"Study2","P031","R05","Description",3
"Study2","P031","R05","Fluency",4
"Study2","P031","R05","Structure",3
"Study2","P031","R05","Syntactic_Breadth",3
"Study2","P031","R05","Train_of_Thought",3
"Study2","P031","R06","Argumentation",4
"Study2","P031","R06","Completeness",4
"Study2","P031","R06","Correctness",4
"Study2","P031","R06","Structure",4
"Study2","P031","R06","Syntactic_Breadth",4
"Study2","P031","R06","Train_of_Thought",2
"Study2","P031","R06","Vocabulary",2
"Study2","P032","R09","Argumentation",1
"Study2","P032","R09","Completeness",4
"Study2","P032","R09","Description",2
"Study2","P032","R09","Fluency",3
"Study2","P032","R10","Argumentation",4
"Study2","P032","R10","Completeness",3
"Study2","P032","R10","Correctness",2
"Study2","P032","R10","Description",4
"Study2","P032","R10","Fluency",3
"Study2","P032","R10","Structure",4
"Study2","P032","R10","Syntactic_Breadth",4
"Study2","P032","R10","Train_of_Thought",4
"Study2","P032","R10","Vocabulary",2
"Study2","P033","R02","Argumentation",2
"Study2","P033","R02","Completeness",3
"Study2","P033","R02","Description",4
"Study2","P033","R02","Fluency",3
"Study2","P033","R02","Structure",4
"Study2","P033","R02","Syntactic_Breadth",4
"Study2","P033","R02","Vocabulary",3
"Study2","P033","R04","Argumentation",3
"Study2","P033","R04","Completeness",3
"Study2","P033","R04","Description",2
"Study2","P033","R04","Fluency",3
"Study2","P033","R04","Structure",3
"Study2","P033","R04","Syntactic_Breadth",4
"Study2","P033","R04","Train_of_Thought",4
"Study2","P033","R04","Vocabulary",4
"Study2","P034","R03","Argumentation",2
"Study2","P034","R03","Completeness",2
"Study2","P034","R03","Correctness",2
"Study2","P034","R03","Description",2
"Study2","P034","R03","Fluency",4
"Study2","P034","R03","Structure",4
"Study2","P034","R03","Syntactic_Breadth",4
"Study2","P034","R03","Train_of_Thought",2
"Study2","P034","R03","Vocabulary",4
"Study2","P034","R05","Argumentation",3
"Study2","P034","R05","Completeness",4
"Study2","P034","R05","Description",2
"Study2","P034","R05","Fluency",2
"Study2","P034","R05","Structure",2
"Study2","P034","R05","Syntactic_Breadth",2
"Study2","P034","R05","Train_of_Thought",2
"Study2","P034","R05","Vocabulary",3
"Study2","P035","R05","Argumentation",2
"Study2","P035","R05","Completeness",2
"Study2","P035","R05","Correctness",2
"Study2","P035","R05","Fluency",2
"Study2","P035","R05","Structure",4
"Study2","P035","R05","Syntactic_Breadth",2
"Study2","P035","R05","Train_of_Thought",3
"Study2","P035","R05","Vocabulary",4
"Study2","P035","R07","Argumentation",3
"Study2","P035","R07","Correctness",4
"Study2","P035","R07","Description",3
"Study2","P035","R07","Structure",3
"Study2","P035","R07","Syntactic_Breadth",3
"Study2","P035","R07","Train_of_Thought",2
"Study2","P035","R07","Vocabulary",3
"Study2","P036","R04","Argumentation",2
"Study2","P036","R04","Completeness",1
"Study2","P036","R04","Correctness",2
"Study2","P036","R04","Description",4
"Study2","P036","R04","Fluency",2
"Study2","P036","R04","Structure",2
"Study2","P036","R04","Syntactic_Breadth",4
"Study2","P036","R04","Vocabulary",2
"Study2","P036","R07","Correctness",3
"Study2","P036","R07","Description",2
"Study2","P036","R07","Fluency",3
"Study2","P036","R07","Structure",4
"Study2","P036","R07","Syntactic_Breadth",3
"Study2","P036","R07","Train_of_Thought",2
"Study2","P036","R07","Vocabulary",4
"Study2","P037","R04","Argumentation",2
"Study2","P037","R04","Completeness",1
"Study2","P037","R04","Correctness",3
"Study2","P037","R04","Description",3
"Study2","P037","R04","Fluency",1
"Study2","P037","R04","Structure",2
"Study2","P037","R04","Syntactic_Breadth",2
"Study2","P037","R04","Train_of_Thought",2
"Study2","P037","R10","Argumentation",1
"Study2","P037","R10","Completeness",2
"Study2","P037","R10","Correctness",1
"Study2","P037","R10","Description",2
"Study2","P037","R10","Fluency",2
"Study2","P037","R10","Structure",2
"Study2","P037","R10","Syntactic_Breadth",2
"Study2","P037","R10","Train_of_Thought",2
"Study2","P037","R10","Vocabulary",1
"Study2","P038","R05","Argumentation",3
"Study2","P038","R05","Completeness",3
"Study2","P038","R05","Correctness",2
"Study2","P038","R05","Description",1
"Study2","P038","R05","Fluency",3
"Study2","P038","R05","Structure",3
"Study2","P038","R05","Syntactic_Breadth",2
"Study2","P038","R05","Train_of_Thought",4
"Study2","P038","R09","Argumentation",3
"Study2","P038","R09","Completeness",3
"Study2","P038","R09","Description",3
"Study2","P038","R09","Fluency",3
"Study2","P038","R09","Structure",4
"Study2","P038","R09","Syntactic_Breadth",4
"Study2","P038","R09","Train_of_Thought",4
"Study2","P038","R09","Vocabulary",3
"Study2","P039","R05","Argumentation",1
"Study2","P039","R05","Correctness",3
"Study2","P039","R05","Description",2
"Study2","P039","R05","Fluency",3
"Study2","P039","R05","Structure",3
"Study2","P039","R05","Syntactic_Breadth",2
"Study2","P039","R05","Train_of_Thought",2
"Study2","P039","R05","Vocabulary",3
"Study2","P039","R06","Argumentation",3
"Study2","P039","R06","Completeness",4
"Study2","P039","R06","Correctness",2
"Study2","P039","R06","Fluency",3
"Study2","P039","R06","Syntactic_Breadth",2
"Study2","P039","R06","Train_of_Thought",2
"Study2","P039","R06","Vocabulary",2
"Study2","P040","R07","Argumentation",3
"Study2","P040","R07","Completeness",4
"Study2","P040","R07","Correctness",3
"Study2","P040","R07","Description",3
"Study2","P040","R07","Fluency",3
"Study2","P040","R07","Structure",4
"Study2","P040","R07","Syntactic_Breadth",4
"Study2","P040","R07","Train_of_Thought",4
"Study2","P040","R07","Vocabulary",4
"Study2","P040","R11","Argumentation",3
"Study2","P040","R11","Completeness",3
"Study2","P040","R11","Correctness",3
"Study2","P040","R11","Description",3
"Study2","P040","R11","Fluency",4
"Study2","P040","R11","Syntactic_Breadth",3
"Study2","P040","R11","Vocabulary",3
"Study2","P041","R03","Argumentation",3
"Study2","P041","R03","Completeness",3
"Study2","P041","R03","Correctness",3
"Study2","P041","R03","Description",4
"Study2","P041","R03","Structure",4
"Study2","P041","R03","Train_of_Thought",3
"Study2","P041","R03","Vocabulary",4
"Study2","P041","R04","Completeness",4
"Study2","P041","R04","Correctness",3
"Study2","P041","R04","Fluency",4
"Study2","P041","R04","Structure",3
"Study2","P041","R04","Syntactic_Breadth",4
"Study2","P041","R04","Train_of_Thought",4
"Study2","P041","R04","Vocabulary",3
"Study2","P042","R03","Completeness",4
"Study2","P042","R03","Correctness",4
"Study2","P042","R03","Description",2
"Study2","P042","R03","Fluency",4
"Study2","P042","R03","Structure",3
"Study2","P042","R03","Syntactic_Breadth",3
"Study2","P042","R03","Train_of_Thought",3
"Study2","P042","R03","Vocabulary",4
"Study2","P042","R12","Completeness",4
"Study2","P042","R12","Correctness",3
"Study2","P042","R12","Description",4
"Study2","P042","R12","Fluency",4
"Study2","P042","R12","Structure",4
"Study2","P042","R12","Syntactic_Breadth",4
"Study2","P042","R12","Train_of_Thought",3
"Study2","P042","R12","Vocabulary",4
"Study2","P043","R01","Argumentation",4
"Study2","P043","R01","Completeness",3
"Study2","P043","R01","Correctness",2
"Study2","P043","R01","Description",2
"Study2","P043","R01","Fluency",3
"Study2","P043","R01","Syntactic_Breadth",4
"Study2","P043","R01","Train_of_Thought",4
"Study2","P043","R01","Vocabulary",4
"Study2","P043","R08","Argumentation",3
"Study2","P043","R08","Completeness",3
"Study2","P043","R08","Correctness",4
"Study2","P043","R08","Description",4
"Study2","P043","R08","Fluency",4
"Study2","P043","R08","Structure",4
"Study2","P043","R08","Syntactic_Breadth",4
"Study2","P043","R08","Train_of_Thought",4
"Study2","P043","R08","Vocabulary",4
"Study2","P044","R02","Argumentation",4
"Study2","P044","R02","Completeness",4
"Study2","P044","R02","Correctness",4
"Study2","P044","R02","Description",4
"Study2","P044","R02","Fluency",4
"Study2","P044","R02","Structure",4
"Study2","P044","R02","Syntactic_Breadth",3
"Study2","P044","R02","Train_of_Thought",4
"Study2","P044","R02","Vocabulary",4
"Study2","P044","R08","Argumentation",4
"Study2","P044","R08","Completeness",4
"Study2","P044","R08","Correctness",4
"Study2","P044","R08","Description",3
"Study2","P044","R08","Fluency",4
"Study2","P044","R08","Structure",4
"Study2","P044","R08","Syntactic_Breadth",4
"Study2","P044","R08","Train_of_Thought",3
"Study2","P045","R01","Argumentation",2
"Study2","P045","R01","Completeness",2
"Study2","P045","R01","Correctness",3
"Study2","P045","R01","Description",3
"Study2","P045","R01","Fluency",2
"Study2","P045","R01","Structure",4
"Study2","P045","R01","Syntactic_Breadth",3
"Study2","P045","R01","Train_of_Thought",4
"Study2","P045","R01","Vocabulary",4
"Study2","P045","R06","Argumentation",2
"Study2","P045","R06","Completeness",3
"Study2","P045","R06","Description",2
"Study2","P045","R06","Fluency",4
"Study2","P045","R06","Structure",4
"Study2","P045","R06","Syntactic_Breadth",3
"Study2","P045","R06","Train_of_Thought",2
"Study2","P045","R06","Vocabulary",3
"Study2","P046","R01","Argumentation",3
"Study2","P046","R01","Completeness",3
"Study2","P046","R01","Correctness",2
"Study2","P046","R01","Description",3
"Study2","P046","R01","Structure",2
"Study2","P046","R01","Syntactic_Breadth",3
"Study2","P046","R01","Train_of_Thought",2
"Study2","P046","R01","Vocabulary",1
"Study2","P046","R06","Completeness",4
"Study2","P046","R06","Description",3
"Study2","P046","R06","Fluency",3
"Study2","P046","R06","Structure",4
"Study2","P046","R06","Syntactic_Breadth",3
