"Study","Person","Rater","Criterion","Score"
"Study1","P026","R08","Linguistic_Realization",3
"Study1","P026","R08","Task_Fulfillment",4
"Study1","P027","R08","Global_Impression",4
"Study1","P027","R08","Linguistic_Realization",3
"Study1","P027","R08","Task_Fulfillment",4
"Study1","P027","R09","Global_Impression",4
"Study1","P027","R09","Linguistic_Realization",4
"Study1","P027","R09","Task_Fulfillment",3
"Study1","P028","R05","Global_Impression",4
"Study1","P028","R05","Linguistic_Realization",4
"Study1","P028","R05","Task_Fulfillment",4
"Study1","P028","R06","Global_Impression",3
"Study1","P028","R06","Linguistic_Realization",1
"Study1","P028","R06","Task_Fulfillment",2
"Study1","P029","R10","Global_Impression",3
"Study1","P029","R10","Linguistic_Realization",3
"Study1","P029","R10","Task_Fulfillment",4
"Study1","P029","R11","Global_Impression",2
"Study1","P029","R11","Linguistic_Realization",2
"Study1","P029","R11","Task_Fulfillment",3
"Study1","P030","R03","Global_Impression",4
"Study1","P030","R03","Linguistic_Realization",3
"Study1","P030","R03","Task_Fulfillment",2
"Study1","P030","R04","Global_Impression",4
"Study1","P030","R04","Linguistic_Realization",4
"Study1","P030","R04","Task_Fulfillment",4
"Study1","P031","R03","Global_Impression",3
"Study1","P031","R03","Linguistic_Realization",3
"Study1","P031","R03","Task_Fulfillment",4
"Study1","P031","R08","Global_Impression",4
"Study1","P031","R08","Linguistic_Realization",4
"Study1","P031","R08","Task_Fulfillment",4
"Study1","P032","R05","Global_Impression",4
"Study1","P032","R05","Linguistic_Realization",4
"Study1","P032","R05","Task_Fulfillment",3
"Study1","P032","R10","Global_Impression",3
"Study1","P032","R10","Linguistic_Realization",2
"Study1","P032","R10","Task_Fulfillment",2
"Study1","P033","R03","Global_Impression",4
"Study1","P033","R03","Linguistic_Realization",4
"Study1","P033","R03","Task_Fulfillment",2
"Study1","P033","R05","Global_Impression",4
"Study1","P033","R05","Linguistic_Realization",3
"Study1","P033","R05","Task_Fulfillment",3
"Study1","P034","R08","Global_Impression",4
"Study1","P034","R08","Linguistic_Realization",3
"Study1","P034","R08","Task_Fulfillment",3
"Study1","P034","R18","Global_Impression",4
"Study1","P034","R18","Linguistic_Realization",4
"Study1","P034","R18","Task_Fulfillment",1
"Study1","P035","R04","Global_Impression",4
"Study1","P035","R04","Linguistic_Realization",3
"Study1","P035","R04","Task_Fulfillment",4
"Study1","P035","R09","Global_Impression",4
"Study1","P035","R09","Linguistic_Realization",4
"Study1","P035","R09","Task_Fulfillment",4
"Study1","P036","R02","Global_Impression",3
"Study1","P036","R02","Linguistic_Realization",3
"Study1","P036","R02","Task_Fulfillment",2
"Study1","P036","R05","Global_Impression",2
"Study1","P036","R05","Linguistic_Realization",4
"Study1","P036","R05","Task_Fulfillment",4
"Study1","P037","R06","Global_Impression",3
"Study1","P037","R06","Linguistic_Realization",2
"Study1","P037","R06","Task_Fulfillment",1
"Study1","P037","R12","Global_Impression",3
"Study1","P037","R12","Linguistic_Realization",3
"Study1","P037","R12","Task_Fulfillment",4
"Study1","P038","R05","Global_Impression",3
"Study1","P038","R05","Linguistic_Realization",3
"Study1","P038","R05","Task_Fulfillment",3
"Study1","P038","R16","Global_Impression",2
"Study1","P038","R16","Linguistic_Realization",1
"Study1","P038","R16","Task_Fulfillment",1
"Study1","P039","R08","Global_Impression",4
"Study1","P039","R08","Linguistic_Realization",3
"Study1","P039","R08","Task_Fulfillment",4
"Study1","P039","R10","Global_Impression",4
"Study1","P039","R10","Linguistic_Realization",3
"Study1","P039","R10","Task_Fulfillment",2
"Study1","P040","R06","Global_Impression",3
"Study1","P040","R06","Linguistic_Realization",3
"Study1","P040","R06","Task_Fulfillment",1
"Study1","P040","R08","Global_Impression",4
"Study1","P040","R08","Linguistic_Realization",4
"Study1","P040","R08","Task_Fulfillment",4
"Study1","P041","R03","Global_Impression",4
"Study1","P041","R03","Linguistic_Realization",3
"Study1","P041","R03","Task_Fulfillment",4
"Study1","P041","R11","Global_Impression",4
"Study1","P041","R11","Linguistic_Realization",1
"Study1","P041","R11","Task_Fulfillment",1
"Study1","P042","R04","Global_Impression",4
"Study1","P042","R04","Linguistic_Realization",3
"Study1","P042","R04","Task_Fulfillment",4
"Study1","P042","R18","Global_Impression",3
"Study1","P042","R18","Linguistic_Realization",4
"Study1","P042","R18","Task_Fulfillment",2
"Study1","P043","R03","Global_Impression",4
"Study1","P043","R03","Linguistic_Realization",2
"Study1","P043","R03","Task_Fulfillment",3
"Study1","P043","R18","Global_Impression",4
"Study1","P043","R18","Linguistic_Realization",3
"Study1","P043","R18","Task_Fulfillment",3
"Study1","P044","R11","Global_Impression",3
"Study1","P044","R11","Linguistic_Realization",3
"Study1","P044","R11","Task_Fulfillment",4
"Study1","P044","R16","Global_Impression",4
"Study1","P044","R16","Linguistic_Realization",2
"Study1","P044","R16","Task_Fulfillment",1
"Study1","P045","R03","Global_Impression",4
"Study1","P045","R03","Linguistic_Realization",3
"Study1","P045","R03","Task_Fulfillment",2
"Study1","P045","R04","Global_Impression",4
"Study1","P045","R04","Linguistic_Realization",2
"Study1","P045","R04","Task_Fulfillment",4
"Study1","P046","R01","Global_Impression",4
"Study1","P046","R01","Linguistic_Realization",2
"Study1","P046","R01","Task_Fulfillment",3
"Study1","P046","R16","Global_Impression",4
"Study1","P046","R16","Linguistic_Realization",2
"Study1","P046","R16","Task_Fulfillment",2
"Study1","P047","R11","Global_Impression",2
"Study1","P047","R11","Linguistic_Realization",4
"Study1","P047","R11","Task_Fulfillment",2
"Study1","P047","R12","Global_Impression",4
"Study1","P047","R12","Linguistic_Realization",3
"Study1","P047","R12","Task_Fulfillment",3
"Study1","P048","R02","Global_Impression",2
"Study1","P048","R02","Linguistic_Realization",2
"Study1","P048","R02","Task_Fulfillment",3
"Study1","P048","R18","Global_Impression",2
"Study1","P048","R18","Linguistic_Realization",4
"Study1","P048","R18","Task_Fulfillment",3
"Study1","P049","R06","Global_Impression",3
"Study1","P049","R06","Linguistic_Realization",1
"Study1","P049","R06","Task_Fulfillment",3
"Study1","P049","R08","Global_Impression",4
"Study1","P049","R08","Linguistic_Realization",4
"Study1","P049","R08","Task_Fulfillment",4
"Study1","P050","R03","Global_Impression",4
"Study1","P050","R03","Linguistic_Realization",2
"Study1","P050","R03","Task_Fulfillment",2
"Study1","P050","R09","Global_Impression",3
"Study1","P050","R09","Linguistic_Realization",4
"Study1","P050","R09","Task_Fulfillment",4
"Study1","P051","R12","Global_Impression",4
"Study1","P051","R12","Linguistic_Realization",4
"Study1","P051","R12","Task_Fulfillment",2
"Study1","P051","R18","Global_Impression",3
"Study1","P051","R18","Linguistic_Realization",4
"Study1","P051","R18","Task_Fulfillment",2
"Study1","P052","R02","Global_Impression",2
"Study1","P052","R02","Linguistic_Realization",1
"Study1","P052","R02","Task_Fulfillment",4
"Study1","P052","R03","Global_Impression",4
"Study1","P052","R03","Linguistic_Realization",4
"Study1","P052","R03","Task_Fulfillment",3
"Study1","P053","R12","Global_Impression",3
"Study1","P053","R12","Linguistic_Realization",3
"Study1","P053","R12","Task_Fulfillment",4
"Study1","P053","R18","Global_Impression",4
"Study1","P053","R18","Linguistic_Realization",4
"Study1","P053","R18","Task_Fulfillment",4
"Study1","P054","R12","Global_Impression",3
"Study1","P054","R12","Linguistic_Realization",3
"Study1","P054","R12","Task_Fulfillment",2
"Study1","P054","R18","Global_Impression",4
"Study1","P054","R18","Linguistic_Realization",2
"Study1","P054","R18","Task_Fulfillment",4
"Study1","P055","R06","Global_Impression",1
"Study1","P055","R06","Linguistic_Realization",1
"Study1","P055","R06","Task_Fulfillment",1
"Study1","P055","R09","Global_Impression",3
"Study1","P055","R09","Linguistic_Realization",3
"Study1","P055","R09","Task_Fulfillment",4
"Study1","P056","R08","Global_Impression",4
"Study1","P056","R08","Linguistic_Realization",3
"Study1","P056","R08","Task_Fulfillment",3
"Study1","P056","R09","Global_Impression",4
"Study1","P056","R09","Linguistic_Realization",4
"Study1","P056","R09","Task_Fulfillment",4
"Study1","P057","R04","Global_Impression",4
"Study1","P057","R04","Linguistic_Realization",4
"Study1","P057","R04","Task_Fulfillment",4
"Study1","P057","R05","Global_Impression",4
"Study1","P057","R05","Linguistic_Realization",4
"Study1","P057","R05","Task_Fulfillment",4
"Study1","P058","R08","Global_Impression",4
"Study1","P058","R08","Linguistic_Realization",4
"Study1","P058","R08","Task_Fulfillment",3
"Study1","P058","R14","Global_Impression",4
"Study1","P058","R14","Linguistic_Realization",3
"Study1","P058","R14","Task_Fulfillment",3
"Study1","P059","R01","Global_Impression",3
"Study1","P059","R01","Linguistic_Realization",4
"Study1","P059","R01","Task_Fulfillment",2
"Study1","P059","R03","Global_Impression",3
"Study1","P059","R03","Linguistic_Realization",4
"Study1","P059","R03","Task_Fulfillment",3
"Study1","P060","R05","Global_Impression",4
"Study1","P060","R05","Linguistic_Realization",3
"Study1","P060","R05","Task_Fulfillment",4
"Study1","P060","R10","Global_Impression",4
"Study1","P060","R10","Linguistic_Realization",3
"Study1","P060","R10","Task_Fulfillment",1
"Study1","P061","R03","Global_Impression",4
"Study1","P061","R03","Linguistic_Realization",3
"Study1","P061","R03","Task_Fulfillment",3
"Study1","P061","R18","Global_Impression",2
"Study1","P061","R18","Linguistic_Realization",3
"Study1","P061","R18","Task_Fulfillment",4
"Study1","P062","R01","Global_Impression",3
"Study1","P062","R01","Linguistic_Realization",3
"Study1","P062","R01","Task_Fulfillment",3
"Study1","P062","R12","Global_Impression",3
"Study1","P062","R12","Linguistic_Realization",3
"Study1","P062","R12","Task_Fulfillment",4
"Study1","P063","R03","Global_Impression",4
"Study1","P063","R03","Linguistic_Realization",2
"Study1","P063","R03","Task_Fulfillment",4
"Study1","P063","R11","Global_Impression",3
"Study1","P063","R11","Linguistic_Realization",2
"Study1","P063","R11","Task_Fulfillment",1
"Study1","P064","R05","Global_Impression",4
"Study1","P064","R05","Linguistic_Realization",4
"Study1","P064","R05","Task_Fulfillment",4
"Study1","P064","R10","Global_Impression",4
"Study1","P064","R10","Linguistic_Realization",3
"Study1","P064","R10","Task_Fulfillment",2
"Study1","P065","R08","Global_Impression",4
"Study1","P065","R08","Linguistic_Realization",4
"Study1","P065","R08","Task_Fulfillment",4
"Study1","P065","R13","Global_Impression",3
"Study1","P065","R13","Linguistic_Realization",1
"Study1","P065","R13","Task_Fulfillment",1
"Study1","P066","R07","Global_Impression",4
"Study1","P066","R07","Linguistic_Realization",3
"Study1","P066","R07","Task_Fulfillment",4
"Study1","P066","R17","Global_Impression",4
"Study1","P066","R17","Linguistic_Realization",3
"Study1","P066","R17","Task_Fulfillment",4
"Study1","P067","R08","Global_Impression",3
"Study1","P067","R08","Linguistic_Realization",4
"Study1","P067","R08","Task_Fulfillment",4
"Study1","P067","R12","Global_Impression",3
"Study1","P067","R12","Linguistic_Realization",4
"Study1","P067","R12","Task_Fulfillment",2
"Study1","P068","R01","Global_Impression",4
"Study1","P068","R01","Linguistic_Realization",3
"Study1","P068","R01","Task_Fulfillment",3
"Study1","P068","R09","Global_Impression",4
"Study1","P068","R09","Linguistic_Realization",2
"Study1","P068","R09","Task_Fulfillment",4
"Study1","P069","R01","Global_Impression",2
"Study1","P069","R01","Linguistic_Realization",3
"Study1","P069","R01","Task_Fulfillment",2
"Study1","P069","R14","Global_Impression",3
"Study1","P069","R14","Linguistic_Realization",3
"Study1","P069","R14","Task_Fulfillment",4
"Study1","P070","R05","Global_Impression",3
"Study1","P070","R05","Linguistic_Realization",3
"Study1","P070","R05","Task_Fulfillment",3
"Study1","P070","R13","Global_Impression",1
"Study1","P070","R13","Linguistic_Realization",2
"Study1","P070","R13","Task_Fulfillment",1
"Study1","P071","R02","Global_Impression",3
"Study1","P071","R02","Linguistic_Realization",3
"Study1","P071","R02","Task_Fulfillment",3
"Study1","P071","R04","Global_Impression",3
"Study1","P071","R04","Linguistic_Realization",3
"Study1","P071","R04","Task_Fulfillment",3
"Study1","P072","R05","Global_Impression",4
"Study1","P072","R05","Linguistic_Realization",2
"Study1","P072","R05","Task_Fulfillment",3
"Study1","P072","R18","Global_Impression",3
"Study1","P072","R18","Linguistic_Realization",2
"Study1","P072","R18","Task_Fulfillment",3
"Study1","P073","R02","Global_Impression",3
"Study1","P073","R02","Linguistic_Realization",4
"Study1","P073","R02","Task_Fulfillment",4
"Study1","P073","R08","Global_Impression",3
"Study1","P073","R08","Linguistic_Realization",4
"Study1","P073","R08","Task_Fulfillment",4
"Study1","P074","R03","Global_Impression",4
"Study1","P074","R03","Linguistic_Realization",3
"Study1","P074","R03","Task_Fulfillment",4
"Study1","P074","R13","Global_Impression",2
"Study1","P074","R13","Linguistic_Realization",1
"Study1","P074","R13","Task_Fulfillment",2
"Study1","P075","R10","Global_Impression",3
"Study1","P075","R10","Linguistic_Realization",1
"Study1","P075","R10","Task_Fulfillment",2
"Study1","P075","R11","Global_Impression",3
"Study1","P075","R11","Linguistic_Realization",1
"Study1","P075","R11","Task_Fulfillment",1
"Study1","P076","R11","Global_Impression",3
"Study1","P076","R11","Linguistic_Realization",3
"Study1","P076","R11","Task_Fulfillment",3
"Study1","P076","R14","Global_Impression",4
"Study1","P076","R14","Linguistic_Realization",3
"Study1","P076","R14","Task_Fulfillment",3
"Study1","P077","R05","Global_Impression",4
"Study1","P077","R05","Linguistic_Realization",3
"Study1","P077","R05","Task_Fulfillment",3
"Study1","P077","R11","Global_Impression",3
"Study1","P077","R11","Linguistic_Realization",3
"Study1","P077","R11","Task_Fulfillment",2
"Study1","P078","R10","Global_Impression",4
"Study1","P078","R10","Linguistic_Realization",3
"Study1","P078","R10","Task_Fulfillment",3
"Study1","P078","R18","Global_Impression",4
"Study1","P078","R18","Linguistic_Realization",4
"Study1","P078","R18","Task_Fulfillment",3
"Study1","P079","R16","Global_Impression",4
"Study1","P079","R16","Linguistic_Realization",3
"Study1","P079","R16","Task_Fulfillment",4
"Study1","P079","R18","Global_Impression",4
"Study1","P079","R18","Linguistic_Realization",4
"Study1","P079","R18","Task_Fulfillment",3
"Study1","P080","R08","Global_Impression",4
"Study1","P080","R08","Linguistic_Realization",3
"Study1","P080","R08","Task_Fulfillment",2
"Study1","P080","R15","Global_Impression",3
"Study1","P080","R15","Linguistic_Realization",4
"Study1","P080","R15","Task_Fulfillment",3
"Study1","P081","R06","Global_Impression",4
"Study1","P081","R06","Linguistic_Realization",2
"Study1","P081","R06","Task_Fulfillment",2
"Study1","P081","R10","Global_Impression",4
"Study1","P081","R10","Linguistic_Realization",3
"Study1","P081","R10","Task_Fulfillment",4
"Study1","P082","R04","Global_Impression",4
"Study1","P082","R04","Linguistic_Realization",4
"Study1","P082","R04","Task_Fulfillment",3
"Study1","P082","R05","Global_Impression",4
"Study1","P082","R05","Linguistic_Realization",4
"Study1","P082","R05","Task_Fulfillment",3
"Study1","P083","R09","Global_Impression",2
"Study1","P083","R09","Linguistic_Realization",4
"Study1","P083","R09","Task_Fulfillment",4
"Study1","P083","R12","Global_Impression",3
"Study1","P083","R12","Linguistic_Realization",4
"Study1","P083","R12","Task_Fulfillment",3
"Study1","P084","R08","Global_Impression",4
"Study1","P084","R08","Linguistic_Realization",4
"Study1","P084","R08","Task_Fulfillment",4
"Study1","P084","R14","Global_Impression",4
"Study1","P084","R14","Linguistic_Realization",4
"Study1","P084","R14","Task_Fulfillment",3
"Study1","P085","R04","Global_Impression",4
"Study1","P085","R04","Linguistic_Realization",4
"Study1","P085","R04","Task_Fulfillment",3
"Study1","P085","R08","Global_Impression",4
"Study1","P085","R08","Linguistic_Realization",4
"Study1","P085","R08","Task_Fulfillment",4
"Study1","P086","R02","Global_Impression",4
"Study1","P086","R02","Linguistic_Realization",3
"Study1","P086","R02","Task_Fulfillment",2
"Study1","P086","R16","Global_Impression",3
"Study1","P086","R16","Linguistic_Realization",2
"Study1","P086","R16","Task_Fulfillment",2
"Study1","P087","R06","Global_Impression",2
"Study1","P087","R06","Linguistic_Realization",1
"Study1","P087","R06","Task_Fulfillment",2
"Study1","P087","R12","Global_Impression",2
"Study1","P087","R12","Linguistic_Realization",4
"Study1","P087","R12","Task_Fulfillment",3
"Study1","P088","R09","Global_Impression",3
"Study1","P088","R09","Linguistic_Realization",4
"Study1","P088","R09","Task_Fulfillment",4
"Study1","P088","R11","Global_Impression",3
"Study1","P088","R11","Linguistic_Realization",2
"Study1","P088","R11","Task_Fulfillment",2
"Study1","P089","R05","Global_Impression",2
"Study1","P089","R05","Linguistic_Realization",2
"Study1","P089","R05","Task_Fulfillment",2
"Study1","P089","R08","Global_Impression",4
"Study1","P089","R08","Linguistic_Realization",3
"Study1","P089","R08","Task_Fulfillment",4
"Study1","P090","R04","Global_Impression",3
"Study1","P090","R04","Linguistic_Realization",3
"Study1","P090","R04","Task_Fulfillment",3
"Study1","P090","R08","Global_Impression",4
"Study1","P090","R08","Linguistic_Realization",3
"Study1","P090","R08","Task_Fulfillment",3
"Study1","P091","R08","Global_Impression",3
"Study1","P091","R08","Linguistic_Realization",3
"Study1","P091","R08","Task_Fulfillment",2
"Study1","P091","R10","Global_Impression",3
"Study1","P091","R10","Linguistic_Realization",2
"Study1","P091","R10","Task_Fulfillment",1
"Study1","P092","R04","Global_Impression",3
"Study1","P092","R04","Linguistic_Realization",4
"Study1","P092","R04","Task_Fulfillment",4
"Study1","P092","R17","Global_Impression",3
"Study1","P092","R17","Linguistic_Realization",3
"Study1","P092","R17","Task_Fulfillment",3
"Study1","P093","R03","Global_Impression",4
"Study1","P093","R03","Linguistic_Realization",4
"Study1","P093","R03","Task_Fulfillment",3
"Study1","P093","R10","Global_Impression",3
"Study1","P093","R10","Linguistic_Realization",4
"Study1","P093","R10","Task_Fulfillment",2
"Study1","P094","R10","Global_Impression",4
"Study1","P094","R10","Linguistic_Realization",4
"Study1","P094","R10","Task_Fulfillment",3
"Study1","P094","R14","Global_Impression",3
"Study1","P094","R14","Linguistic_Realization",4
"Study1","P094","R14","Task_Fulfillment",4
"Study1","P095","R06","Global_Impression",4
"Study1","P095","R06","Linguistic_Realization",3
"Study1","P095","R06","Task_Fulfillment",4
"Study1","P095","R11","Global_Impression",3
"Study1","P095","R11","Linguistic_Realization",3
"Study1","P095","R11","Task_Fulfillment",3
"Study1","P096","R09","Global_Impression",4
"Study1","P096","R09","Linguistic_Realization",3
"Study1","P096","R09","Task_Fulfillment",4
"Study1","P096","R16","Global_Impression",4
"Study1","P096","R16","Linguistic_Realization",3
"Study1","P096","R16","Task_Fulfillment",2
"Study1","P097","R06","Global_Impression",2
"Study1","P097","R06","Linguistic_Realization",2
"Study1","P097","R06","Task_Fulfillment",1
"Study1","P097","R16","Global_Impression",4
"Study1","P097","R16","Linguistic_Realization",1
"Study1","P097","R16","Task_Fulfillment",4
"Study1","P098","R01","Global_Impression",4
"Study1","P098","R01","Linguistic_Realization",3
"Study1","P098","R01","Task_Fulfillment",2
"Study1","P098","R05","Global_Impression",3
"Study1","P098","R05","Linguistic_Realization",2
"Study1","P098","R05","Task_Fulfillment",4
"Study1","P099","R02","Global_Impression",4
"Study1","P099","R02","Linguistic_Realization",1
"Study1","P099","R02","Task_Fulfillment",3
"Study1","P099","R11","Global_Impression",4
"Study1","P099","R11","Linguistic_Realization",2
"Study1","P099","R11","Task_Fulfillment",2
"Study1","P100","R01","Global_Impression",2
"Study1","P100","R01","Linguistic_Realization",3
"Study1","P100","R01","Task_Fulfillment",2
"Study1","P100","R16","Global_Impression",2
"Study1","P100","R16","Linguistic_Realization",3
"Study1","P100","R16","Task_Fulfillment",2
"Study1","P101","R11","Global_Impression",3
"Study1","P101","R11","Linguistic_Realization",4
"Study1","P101","R11","Task_Fulfillment",4
"Study1","P101","R17","Global_Impression",4
"Study1","P101","R17","Linguistic_Realization",3
"Study1","P101","R17","Task_Fulfillment",2
"Study1","P102","R04","Global_Impression",4
"Study1","P102","R04","Linguistic_Realization",4
"Study1","P102","R04","Task_Fulfillment",4
"Study1","P102","R11","Global_Impression",3
"Study1","P102","R11","Linguistic_Realization",1
"Study1","P102","R11","Task_Fulfillment",2
"Study1","P103","R11","Global_Impression",3
"Study1","P103","R11","Linguistic_Realization",2
"Study1","P103","R11","Task_Fulfillment",2
"Study1","P103","R12","Global_Impression",3
"Study1","P103","R12","Linguistic_Realization",3
"Study1","P103","R12","Task_Fulfillment",3
"Study1","P104","R08","Global_Impression",3
"Study1","P104","R08","Linguistic_Realization",2
"Study1","P104","R08","Task_Fulfillment",4
"Study1","P104","R17","Global_Impression",3
"Study1","P104","R17","Linguistic_Realization",4
"Study1","P104","R17","Task_Fulfillment",2
"Study1","P105","R07","Global_Impression",4
"Study1","P105","R07","Linguistic_Realization",3
"Study1","P105","R07","Task_Fulfillment",4
"Study1","P105","R09","Global_Impression",4
"Study1","P105","R09","Linguistic_Realization",4
"Study1","P105","R09","Task_Fulfillment",3
"Study1","P106","R05","Global_Impression",4
"Study1","P106","R05","Linguistic_Realization",3
"Study1","P106","R05","Task_Fulfillment",3
"Study1","P106","R17","Global_Impression",4
